code,industry,pred
601018,公用事业,0
601012,科技,3
601010,消费,0
601000,公用事业,3
600995,公用事业,3
600990,科技,3
600985,周期资源,4
600975,消费,0
600970,公用事业,0
600968,周期资源,0
600956,公用事业,3
600919,金融地产,4
600916,消费,0
600909,金融地产,3
600894,制造,0
600881,公用事业,0
600879,科技,0
600877,科技,4
600871,周期资源,4
600867,消费,0
600854,金融地产,0
600851,消费,0
600848,金融地产,0
600838,消费,3
600817,公用事业,4
600816,金融地产,0
600815,制造,0
600796,公用事业,0
600795,公用事业,3
600790,消费,0
600778,消费,0
600774,消费,0
600760,科技,0
600758,周期资源,3
600757,消费,3
600753,公用事业,0
600749,消费,0
600741,制造,3
600738,消费,3
600736,金融地产,0
600734,科技,0
600729,消费,0
600724,金融地产,0
600718,科技,0
600717,公用事业,0
600714,周期资源,4
600712,消费,0
600708,金融地产,0
600686,制造,0
600681,公用事业,0
600679,制造,0
600668,周期资源,0
600666,科技,4
600657,金融地产,0
600654,科技,0
600633,消费,0
600630,消费,0
600618,周期资源,4
600613,消费,0
600606,金融地产,3
600605,消费,0
600598,消费,0
600596,周期资源,0
600593,消费,0
600590,科技,0
600584,科技,4
600579,制造,0
600561,公用事业,3
600560,制造,3
600556,消费,3
600548,公用事业,0
600545,制造,0
600538,消费,0
600531,周期资源,4
600530,消费,0
600525,公用事业,0
600512,公用事业,3
600503,金融地产,0
600500,周期资源,0
600497,周期资源,4
600496,公用事业,0
600495,制造,3
600489,周期资源,0
600479,消费,0
600475,公用事业,0
600468,公用事业,0
600463,金融地产,3
600455,科技,3
600452,公用事业,0
600444,制造,3
600439,消费,0
600428,公用事业,0
600418,制造,3
600395,周期资源,4
600369,金融地产,3
600362,周期资源,4
600336,制造,0
600327,消费,0
600326,周期资源,0
600323,公用事业,3
600283,公用事业,0
600280,消费,0
600279,公用事业,3
600262,制造,3
600259,周期资源,3
600258,消费,0
600255,周期资源,4
600249,消费,3
600239,金融地产,0
600234,公用事业,0
600217,公用事业,3
600211,消费,3
600210,制造,0
600207,科技,4
600199,消费,0
600196,消费,0
600189,消费,0
600188,周期资源,4
600183,科技,0
600180,公用事业,0
600168,公用事业,0
600167,公用事业,0
600160,周期资源,0
600151,科技,0
600141,周期资源,0
600135,周期资源,4
600111,周期资源,4
600101,公用事业,0
600100,科技,0
600088,消费,3
600082,金融地产,0
600080,消费,0
600073,消费,0
600060,制造,0
600056,消费,0
600037,消费,3
600036,金融地产,3
600028,周期资源,4
600027,公用事业,0
600025,公用事业,1
600017,公用事业,3
600012,公用事业,3
600011,公用事业,3
600010,周期资源,0
600006,制造,0
302132,科技,0
301696,科技,0
301687,周期资源,0
301683,周期资源,0
301668,公用事业,3
301667,制造,0
301666,科技,0
301662,科技,0
301658,科技,0
301638,科技,0
301636,科技,0
301633,制造,0
301631,制造,0
301618,周期资源,4
301602,消费,0
301600,科技,0
301599,制造,3
301590,科技,0
301588,制造,0
301586,科技,0
301585,周期资源,0
301580,消费,0
301568,制造,0
301565,周期资源,4
301560,制造,3
301522,周期资源,4
301510,制造,0
301503,科技,0
301502,制造,0
301499,制造,3
301486,科技,3
301398,制造,0
301396,科技,0
301391,科技,0
301383,科技,0
