code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600022,2021,2,0.095671,0.107698,0.054491,3.936941,0.817389,9.745448,0.554164,0.716030,0.116384,2.135844,14.367611,,,,
sh600022,2021,3,0.127686,0.105035,0.050409,2.810622,1.215268,13.679044,0.536655,0.693156,0.064694,1.283376,10.587916,,,,
sh600022,2021,4,0.057045,0.085076,0.026717,0.874885,1.571988,18.120827,0.550714,0.587692,0.076355,2.857898,8.925857,,,,
sh600022,2022,1,0.026553,0.079276,0.036957,-0.08151,0.328589,3.612544,0.548692,0.587908,0.042313,1.144930,10.107761,,,,
sh600022,2022,2,0.049572,0.075015,0.033288,-0.443968,0.73562,7.77002,0.559308,0.583700,0.098086,2.946586,14.196616,,,,
sh600022,2022,3,0.012304,0.060021,0.012602,-0.78063,1.080299,12.233219,0.547054,0.503139,0.057832,4.589057,5.076244,,,,
sh600022,2022,4,0.025369,0.055585,0.013857,-0.521391,1.445202,17.415395,0.539013,0.560709,0.053367,3.851189,4.618116,,,,
sh600022,2023,1,-0.014261,0.029416,-0.011645,-1.323451,0.35822,4.481646,0.544093,0.564626,-0.071895,,-1.921255,,,,
sh600022,2023,2,-0.011578,0.036503,-0.001277,-1.033648,0.683732,9.027998,0.551682,0.540810,-0.007260,,0.858666,,,,
sh600022,2023,3,-0.015761,0.040276,-0.0007,-1.046,1.004653,13.193803,0.543062,0.525977,-0.002574,,0.781335,,,,
sh600022,2023,4,-0.018599,0.040048,-0.00078,-1.049869,1.332839,17.729278,0.541267,0.511891,-0.013385,,0.733805,,,,
sh600022,2024,1,-0.030634,0.001422,-0.034548,-1.736553,0.339174,4.249258,0.560372,0.496995,0.066247,,-8.276357,,,,
sh600022,2024,2,-0.046993,0.018658,-0.023752,-16.90517,0.675671,8.478068,0.005609,0.488154,0.033134,,-7.606064,,,,
sh600022,2024,3,-0.071257,0.016358,-0.02452,-31.96051,0.963511,12.865546,0.005664,0.488888,0.024423,,-6.456861,,,,
sh600022,2024,4,-0.113127,0.017363,-0.029931,-33.797853,1.243286,16.00838,0.005702,0.400556,0.002467,,-8.131281,,,,
sh600022,2025,1,-0.000769,0.047851,0.005594,1.13657,0.28934,3.444754,0.005853,0.445166,0.078883,14.101311,2.951248,,,,
sh600022,2025,2,0.000668,0.060155,0.00584,1.200142,0.562585,7.190406,0.005692,0.427845,0.076651,13.125450,3.138341,,,,
sh600022,2025,3,0.007426,0.066045,0.008894,1.309131,0.831933,9.706748,0.005713,0.465160,0.059449,6.684282,3.825214,,,,
